food_id,food_name,calories,protein,fat,carbs,fiber,sugar,sodium
111,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.4283752,4.875859261,4.820158958,27.56965637,2.5,3.0,170.0450592
112,Mutton biryani/biriyani,190.7631531,7.376446724,7.724486828,22.49508858,1.0,8.0,262.6424255
113,Vegetable biryani/biriyani,174.6051636,3.160541773,9.507964134,18.55727386,1.0,8.0,183.7902069
114,"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.302887,4.256220818,7.879806519,21.62227058,1.0,8.0,187.1090698
115,Sweet rice (Meethe chawal),215.4134827,2.095991611,4.565640926,42.59217072,1.0,8.0,3.198780298
116,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.73703,5.75323391,4.316627026,32.93044662,0.0,5.0,213.2903442
117,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.0386047,7.453181744,8.532773972,65.08139038,1.0,8.0,162.4134064
118,Spanish rice,164.24086,4.189563274,2.232735634,31.09807014,1.0,8.0,96.60800171
119,Chinese fried rice,120.5841217,4.051771164,5.434627056,13.40168476,1.0,8.0,248.3614349
120,Macroni cheese pie,170.627533,5.850981236,7.48359108,21.09503174,0.0,5.0,200.5116425
121,Vegetable chowmein,129.7138824,3.066948175,6.358810902,15.44433498,1.0,8.0,258.4696045
122,Chicken chowmein,151.3335724,6.331267834,8.234783173,13.30146122,0.0,0.0,288.1506653
123,Cheese noodle ring,133.66922,6.224301815,6.117282867,13.95549679,0.0,5.0,241.9593506
124,Spaghetti and cheese balls in tomato sauce,508.3220215,2.408706188,52.08030701,7.815141678,2.5,3.0,104.136261
125,Penne platter,177.4006195,5.040764809,8.709636688,20.87212181,1.0,8.0,283.3703308
126,Pasta hot pot,125.1728973,5.83754158,6.466379642,11.60178471,1.0,8.0,231.165329
127,Chicken lasagne,187.4915314,10.45242023,10.36139965,13.90227413,0.0,0.0,238.5521545
128,Fettuccine with spinach sauce,129.2067261,3.103574753,7.828339577,12.18928051,2.5,3.0,153.5908966
129,Naan,286.449646,8.052100182,4.987837315,51.75419998,1.0,8.0,326.1089478
130,Bhatura,793.2029419,1.630399346,82.56384277,10.73396301,1.0,8.0,28.30090141
131,Idli,137.5352631,4.637406349,0.333167076,28.17755699,1.0,8.0,100.8339157
132,Masala dosa,164.584671,3.287727356,7.840357304,19.56658745,5.0,0.5,191.27771
133,Semolina dosa (Suji/Rava dosa),227.0520935,7.300220013,7.116666317,32.84082794,1.0,8.0,202.3602295
134,Onion tomato uttapam,462.0191956,1.906250596,45.30297089,11.31599045,2.5,3.0,143.5269318
135,Paneer kaathi roll,285.9421387,6.916443348,19.55446243,20.10346985,0.0,5.0,221.0313263
136,Makki ki roti,263.9683533,3.492470741,16.84941101,24.19199944,1.0,8.0,236.2200012
137,Washed moong dal (Dhuli moong ki dal),50.00269318,2.677743673,1.680992842,5.9069314,4.0,1.0,150.6404572
138,Washed urad dal (Dhuli urad ki dal),61.3236351,2.510929108,2.980016947,5.841114998,4.0,1.0,142.2120056
139,Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),73.25393677,2.789580822,3.602670431,7.101042747,2.5,3.0,149.4678802
140,Dry washed urad,124.7121277,6.849685669,3.497102022,15.66222095,1.0,8.0,295.7929993
141,Mixed dal,61.92817688,2.50559926,3.1035676,5.792935848,4.0,1.0,141.3648529
142,Whole moong (Moong ki dal),53.69861221,2.249401331,2.56445694,5.218648911,4.0,1.0,123.8632202
143,Whole masoor (Masoor ki dal),54.05467224,2.279197216,2.518010378,5.374639034,4.0,1.0,123.7221222
144,Whole moth (Moth ki dal),54.99718475,2.005776882,2.618790388,5.740952015,4.0,1.0,125.0778351
145,Whole urad (Urad ki dal),53.7951355,2.213059902,2.623819113,5.047299385,4.0,1.0,126.1194534
146,Moti mahal dal (Urad rajmah mix dal),103.1279602,3.929511786,5.656059265,8.737751007,4.0,1.0,157.6141205
147,Black channa curry/Bengal gram curry (Kale chane ki curry),140.6766205,5.66623497,6.61011076,14.11445045,1.0,8.0,358.6307678
148,Chickpeas curry (Safed channa curry),163.4320374,6.099023819,6.842765808,19.97835922,2.5,3.0,357.9903259
149,Lobia curry,148.9874115,6.06400013,5.619450569,17.88196182,1.0,8.0,355.4085999
150,Soyabean curry,163.2771912,10.42690849,10.18999767,6.759547234,1.0,8.0,352.6943054
151,Kidney bean curry (Rajmah curry),143.7259064,5.951425076,5.774553776,16.37845993,1.0,8.0,354.6005554
152,Sambar,96.91847229,3.350063324,4.382696629,10.56774044,1.0,8.0,159.5382233
153,Besan kadhi with pakodies,403.3492126,1.644304395,42.58848953,3.563780308,1.0,8.0,60.80490875
154,Khatta channa,202.5660553,6.295548916,10.55977345,21.14064026,1.0,8.0,513.3212891
155,Sprouted moong dal chat,32.47376251,1.349707603,0.321637422,6.005068302,4.0,1.0,87.0721283
156,Potato cauliflower (Aloo gobhi),106.1774826,1.897575021,8.125692368,5.990505219,1.0,8.0,254.7582855
157,Potato capsicum (Shimla mirch aloo),125.5296326,1.409610629,9.332274437,8.716957092,1.0,8.0,277.9205017
158,Cabbage and peas (Pattagobhi aur matar),63.8829422,3.239331245,2.644949913,6.235406399,2.5,3.0,253.7345581
159,Carrot and fenugreek leaves (Gajar methi),61.91693878,2.095118284,3.806856632,4.17098999,2.5,3.0,262.9130554
160,Potato fenugreek (Aloo methi),135.1473999,2.245501995,10.04067516,8.468133926,1.0,8.0,221.9273682
161,Brinjal bhartha (Baingan ka bhartha),65.11573029,1.379703522,4.480549812,4.397458076,2.5,3.0,132.1516571
162,Dry potato (Sookhe aloo),103.1455383,1.620023608,4.182056904,14.37825108,1.0,8.0,199.9938812
163,Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.6313629,2.618790865,11.39354229,4.393538952,1.0,8.0,271.6534424
164,Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.1108398,2.638852596,11.5607214,3.992308378,1.0,8.0,286.0575867
165,Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.6127319,1.819755435,8.62128067,4.994035244,2.5,3.0,219.6028595
166,Raw turnip with coconut,132.1482849,1.802955747,11.4671011,5.777783871,2.5,3.0,275.5453796
167,Raw papaya with coconut (Papaya thoran),132.7501221,1.535468817,11.42029095,5.577168465,1.8,10.0,270.5634155
168,Stuffed okra (Bharwa bhindi),94.34012604,2.079592705,7.655135632,3.854253292,2.5,3.0,210.0344543
169,Stuffed round gourd (Bharwa tinde),72.79677582,1.103464246,5.747200489,4.020564079,2.5,3.0,180.1468658
170,Stuffed capsicum (Bharwa shimla mirch),90.94032288,1.337250948,5.70438242,8.255976677,1.0,8.0,173.9388428
171,Stuffed brinjal (Bharwa baingan),92.99759674,1.533137679,7.728148937,3.9584198,2.5,3.0,212.8831329
172,Stuffed tomatoes (Bharwa tamatar),93.34754944,3.281882048,6.05977869,6.190073967,2.5,3.0,165.8527679
173,Pea potato curry (Aloo matar),100.9229584,3.482859135,5.126852989,9.739043236,1.0,8.0,154.8327942
174,Pea paneer curry (Matar paneer),134.8343658,6.605493069,7.750081539,9.291922569,0.0,5.0,157.3442383
175,Pea mushroom curry (Matar mushroom),93.29611969,3.868680954,5.161108017,7.411490917,1.0,8.0,155.4836426
176,Pea curry (Matar ki sabzi),102.9912491,4.512318611,5.108823776,9.196368217,1.0,8.0,154.7516632
177,Pea vadi curry,101.9474564,4.637181282,5.077193737,8.900667191,1.0,8.0,149.5050201
178,Paneer curry,176.5167694,7.801123619,12.38486671,8.398056984,0.0,5.0,216.0889435
179,Lotus stem curry (Kamal kakdi curry),110.3378754,1.529191494,7.250926971,9.235796928,1.0,8.0,217.0490112
180,Gravy for kofta,125.5859299,1.748348355,10.34965897,6.306786537,1.0,8.0,312.8621521
181,Pea kofta curry (Matar kofta curry),595.6647949,2.010419607,63.39245987,4.167610645,1.0,8.0,83.06669617
182,Spinach kofta curry (Palak kofta curry),571.776062,1.085842609,61.49188995,3.564888477,2.5,3.0,104.5080185
183,Paneer kofta curry,670.9107666,2.385353088,72.06321716,3.269001484,0.0,5.0,121.7154846
184,Lotus stem kofta curry (Kamal kakdi kofta curry),633.5641479,0.957196951,67.76353455,5.014779091,1.0,8.0,108.6149292
185,Raw banana kofta curry (Kela kofta curry),627.2714844,0.621689141,67.97930908,3.404439449,1.8,10.0,88.39573669
186,Cauliflower kofta curry (Phoolgobhi kofta curry),641.0996094,1.037197471,69.62345886,2.616612434,1.0,8.0,93.64952087
187,Cabbage kofta curry (Pattagobhi kofta curry),639.8127441,0.975607097,69.40044403,2.87414813,1.0,8.0,92.85335541
188,Ghiya/Lauki Kofta Curry,638.7068481,0.888320744,69.40149689,2.709040165,1.0,8.0,91.43154144
189,Spinach paneer kofta curry (Palak paneer kofta curry),606.0251465,1.426927924,65.40789032,2.942911386,2.5,3.0,99.37121582
190,Vegetarian egg kofta curry,627.4058228,1.32747972,67.24187469,4.260971546,0.0,0.0,95.89279175
191,Baked vegetables,88.98686218,3.669917345,4.436777115,8.43652916,1.0,8.0,124.6999969
192,Cauliflower musallam (Phoolgobhi musallam),58.82717514,1.892244458,3.546742678,4.484461308,1.0,8.0,123.3568344
193,Baked vegetables with spinach,77.79354858,3.217664003,4.027524948,6.929444313,2.5,3.0,122.8477936
194,Baked potato with skin,135.7728577,3.426379681,8.50363636,11.10995197,1.0,8.0,354.5013733
195,Shepherd's pie (vegetarian),135.6335297,5.04061079,7.304504871,12.03418159,1.0,8.0,118.1975403
196,Baked brinjal in tomato sauce,38.62895966,1.57945168,1.62346971,4.129225254,2.5,3.0,79.65674591
197,Dum aloo,682.329895,0.698263168,74.00669098,3.330488205,1.0,8.0,183.8540192
198,Spinach paneer (Palak paneer),77.68312836,4.033646584,4.763011932,4.429644585,2.5,3.0,166.8661652
199,Methi chaman,475.6245117,1.541497707,50.90748596,2.778881788,1.0,8.0,54.94015121
200,Sarson ka saag,87.8422699,3.004992723,5.860703468,5.325719357,1.0,8.0,165.4529114
201,Jackfruit sabzi (Kathal ki sabzi),625.3995972,0.689478934,67.59599304,3.400272608,1.0,8.0,58.94796371
202,Avial,124.5591888,2.460927248,8.936988831,8.472706795,1.0,8.0,81.49559784
203,Al yakhani,147.5444641,2.85747838,13.14409447,4.646077633,1.0,8.0,206.236618
204,Shahi paneer,156.4958344,5.063810349,12.34110355,6.640919685,0.0,5.0,215.3452454
205,Paneer in butter sauce,145.6078033,6.986546993,8.809211731,9.701619148,0.0,5.0,151.448349
206,Methi malai paneer,194.9778442,7.340943813,14.75878429,8.150174141,0.0,5.0,221.1603088
207,Chilli paneer,777.5137329,2.102154732,84.01101685,3.307047606,0.0,5.0,89.04096985
208,Paneer makhana korma,775.8161621,3.242100477,82.75785828,4.631985188,0.0,5.0,77.00662994
209,Kadhai Paneer,107.992485,4.332953453,6.807462692,7.340911388,0.0,5.0,144.3304138
210,Roghan josh,139.5860748,9.558643341,9.021520615,4.928968906,1.0,8.0,204.3113708
211,Spinach mutton (Palak mutton),80.32388306,5.742547035,4.710127354,3.448048115,2.5,3.0,121.1025009
212,Pea keema curry (Matar keema ki sabzi),133.0029755,8.433099747,8.137558937,6.240138054,1.0,8.0,148.3761292
213,Keema kofta curry,154.4536133,9.769634247,10.38839149,5.644655228,1.0,8.0,311.5108032
214,Kashmiri mutton koftas (Gushtaba),97.4245224,6.334486961,6.767289162,3.041213751,1.0,8.0,130.1112671
215,Mutton yakhni,104.1250458,8.272323608,7.70028019,0.842558682,1.0,8.0,101.0170135
216,Chicken yakhni,99.00197601,10.65881443,6.098036766,0.775728762,0.0,0.0,97.38290405
217,Mutton do piaza,183.3047485,9.386633873,14.41110897,4.136778355,1.0,8.0,118.6174927
218,Mutton chops,663.6375122,4.029827595,71.31482697,1.479083776,1.0,8.0,51.03349304
219,Shammi kebab,685.6908569,4.516568661,72.60784912,3.537393332,1.0,8.0,54.27416611
220,Scotch egg,676.8924561,4.051231384,72.62322998,1.907884121,0.0,0.0,90.67403412
221,Shepherd's pie (with minced meat),142.776535,7.448980808,8.878308296,8.057974815,0.0,0.0,197.2472229
222,Chicken curry,129.2239075,11.79496861,7.569104671,3.378472328,0.0,0.0,108.004715
223,Tandoori chicken,145.1986389,16.26387405,7.933260918,2.336460352,0.0,0.0,158.0015564
224,Butter chicken,137.0028992,10.92411613,8.699542046,3.744894981,0.0,0.0,26.21172333
225,Chicken kebab,729.4060669,3.707453489,78.88613129,1.113486648,0.0,0.0,69.76145172
226,Chilli chicken,198.8343048,9.572081566,16.56274414,2.859405279,0.0,0.0,223.7460022
227,Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.0319443,11.47814178,7.610383987,2.506707191,2.5,3.0,107.5632324
228,Fish curry (Machli curry),111.1279068,8.761919975,6.691418171,3.77377224,1.0,8.0,184.7136688
229,Fried fish (Indian style) (Tali hui machli),658.5440674,4.34542799,68.88000488,5.404769897,1.0,8.0,156.9360199
230,Fried fish and Chips (English Style) (Tali hui machli aur chips),651.7488403,3.36027956,69.69393921,2.770275831,1.0,8.0,72.73255157
231,Tomato fish,489.788147,2.394464254,51.90819168,3.177288532,2.5,3.0,91.46787262
232,Baked fish with cheese sauce,113.962471,8.636777878,7.021681786,4.064233303,0.0,5.0,209.4750977
233,Fish tikka,117.3305283,15.99721813,4.149013996,3.907323837,1.0,8.0,503.4368286
234,Tandoori fish,95.97951508,11.19189358,4.64207077,2.37437129,1.0,8.0,123.9424362
235,"Paneer, apple and pineapple salad",95.08026886,3.884073734,5.067788601,8.34822464,1.8,10.0,176.6313324
236,Russian salad,114.8276596,4.262938499,7.83668232,6.499463081,1.0,8.0,101.0919113
237,Pasta salad,190.3612061,4.153348923,13.91738129,12.69622231,1.0,8.0,152.3084564
238,Deviled egg,98.55766296,4.967010975,7.715618134,2.2294209,0.0,0.0,117.2893906
239,Hawain salad,175.2334442,4.268974781,11.36647797,14.35188198,1.0,8.0,64.91674042
240,Mixed pulse and vegetable salad,83.11799622,4.73594141,0.836849093,13.96145916,1.0,8.0,127.7794571
241,Sprouted moong salad,37.80807114,2.289325237,0.738871157,5.483361721,4.0,1.0,116.3757553
242,Tossed salad,62.95880508,1.024545431,4.218504429,4.951407433,1.0,8.0,77.50202179
243,Mixed vegetable salad with curd sauce,60.28056717,4.229650021,1.500777006,7.034287453,0.0,5.0,116.656044
244,Potato salad (Aloo ka salaad),89.90807343,1.3974576,4.396949291,11.18877125,1.0,8.0,125.0106812
245,Waldroff salad,141.7532349,1.474077106,10.05103493,11.01943207,1.0,8.0,13.41853905
246,Coleslaw,76.71252441,1.238360643,5.320327759,5.590819836,1.0,8.0,29.87016487
247,Fruit salad (Phalon ka salaad),78.13645935,0.914226949,1.216611862,15.96044445,1.0,8.0,7.106660843
248,Tomato onion raita (Tamatar aur pyaaz ka raita),59.00474167,3.735541582,1.842389822,7.080774307,2.5,3.0,165.2069855
249,Peanut raita (Mungfali ka raita),150.3876038,8.590476036,8.979681015,9.30008316,1.0,8.0,235.8329315
250,Sprouted moong raita,60.89452744,4.623001575,2.187315226,6.127210617,4.0,1.0,189.2017059
251,Bottle gourd raita (Ghiya/Lauki ka raita),56.30751038,3.977819443,2.066138744,5.760406017,2.5,3.0,188.3698425
252,Cucumber raita (Kheere ka raita),59.12535095,4.036769867,2.075963736,6.34991312,2.5,3.0,189.964798
253,Carrot and spinach raita (Gajar aur palak ka raita),56.82553482,4.004861355,1.985070109,5.834925652,2.5,3.0,180.791214
254,Mint raita (Pudinay ka raita),77.58534241,5.637849331,2.96395731,7.645182133,1.0,8.0,274.3781738
255,Potato raita (Aloo ka raita),75.37963867,4.220800877,2.03962326,10.23905087,1.0,8.0,183.3670044
256,Boondi raita,687.7191162,2.193774223,73.82686615,3.962462902,1.0,8.0,99.18282318
257,Sweet raita (Meetha raita),99.2430191,3.239583254,1.779166698,17.93124962,1.0,8.0,42.984375
