food_name,calories,protein,fat,carbs,fiber,sugar,meal_type,cat
Tomato Products Canned Sauce With Mushrooms,35.0,1.4,0.1,8.4,1.5,5.8,lunch,vegan
Ocean Spray Diet Cranberry Juice,4.0,0.1,0.0,0.8,0.6,0.2,break-fast,vegan
Whale Beluga Meat Raw (Alaska Native),111.0,26.5,0.5,0.0,0.0,0.0,common,vegan
Frozen Mocha Coffee Drink With Whipped Cream,80.0,1.6,2.7,12.5,0.0,11.8,break-fast,vegan
Babyfood Fruit Guava And Papaya With Tapioca Strained,63.0,0.2,0.1,17.0,0.0,0.0,snacks,vegan
Sweet Potato Baked Peel Not Eaten Fat Not Added In Cooking,90.0,2.0,0.2,20.6,3.3,6.4,lunch,vegan
Cooked Snow Peas,42.0,3.3,0.2,7.0,2.8,4.0,lunch,vegan
Egg Omelet Or Scrambled Egg Made With Butter,172.0,11.2,13.0,1.8,0.0,1.6,break-fast,vegan
Butternuts (Dried),612.0,24.9,57.0,12.0,4.7,0.0,snacks,vegan
Chicken Or Turkey Corn Soup With Noodles Home Recipe,62.0,4.7,1.8,7.3,0.6,1.4,lunch,vegan
English Muffins Raisin-Cinnamon Toasted (Includes Apple-Cinnamon),276.0,8.9,2.2,55.0,3.0,13.3,break-fast,vegan
Vegetable Combinations Asian Style Broccoli Green Pepper Water Chestnut Etc. Cooked Ns As To Fat Added In Cooking,61.0,1.9,2.4,8.8,2.7,3.2,lunch,vegan
Corn Yellow Canned Low Sodium Made With Oil,121.0,2.8,5.0,19.8,2.4,5.9,lunch,vegan
Fuji Apples,63.0,0.2,0.2,15.2,2.1,11.7,snacks,vegan
Grilled Cheese Sandwich Reduced Fat Cheddar Cheese On Whole Wheat Bread,325.0,15.9,18.2,24.9,2.8,2.8,common,vegan
Oatmeal Instant Plain Made With Milk Ns As To Fat Added In Cooking,127.0,4.8,5.2,16.5,1.8,4.3,break-fast,vegan
Cottonseed Oil,884.0,0.0,100.0,0.0,0.0,0.0,common,vegan
Cornmeal Beverage With Chocolate Milk,109.0,1.9,2.4,21.0,0.4,18.0,snacks,vegan
Seeds Sesame Butter Tahini Type Of Kernels Unspecified,592.0,17.4,53.0,21.5,4.7,0.0,snacks,vegan
Peas Cooked Ns As To Form With Mushroom Sauce,75.0,3.8,2.0,10.9,2.8,3.2,lunch,vegan
Pizza Cheese Topping Regular Crust Frozen Cooked,268.0,10.4,12.3,29.0,2.2,3.6,lunch,vegan
Mozzarella,299.0,22.2,22.1,2.4,0.0,0.0,break-fast,vegan
Cereal Frosted Corn Flakes,369.0,4.0,1.7,89.2,2.2,35.4,break-fast,vegan
Soup Beef Broth Or Bouillon Powder Dry,213.0,16.0,8.9,17.4,0.0,16.7,lunch,vegan
Nougat With Almonds,398.0,3.3,1.7,92.4,3.3,45.0,snacks,vegan
Breakfast Bar Cereal Crust With Fruit Filling Lowfat,377.0,4.4,7.5,72.9,2.1,35.1,break-fast,vegan
Collards Cooked From Fresh Made With Butter,49.0,2.6,2.7,5.5,3.9,0.4,lunch,vegan
Nestle Bit-O-Honey Candy Chews,388.0,2.0,7.5,80.9,0.2,48.0,snacks,vegan
Rutabaga Cooked Made With Butter,48.0,0.9,2.4,6.6,1.7,3.8,lunch,vegan
Cauliflower Cooked From Frozen Ns As To Fat Added In Cooking,35.0,1.6,2.1,3.6,2.6,1.0,lunch,vegan
Cake Snack Cakes Creme-Filled Sponge,374.0,3.5,11.5,64.0,1.0,37.3,snacks,vegan
