food_name,calories,protein,fat,carbs,fiber,sugar,meal_type,cat
Lotus stem kofta curry (Kamal kakdi kofta curry),633.6,1.0,67.8,5.0,1.0,8.0,common,vegan
Raw banana kofta curry (Kela kofta curry),627.3,0.6,68.0,3.4,1.8,10.0,common,vegan
Cauliflower kofta curry (Phoolgobhi kofta curry),641.1,1.0,69.6,2.6,1.0,8.0,common,vegan
Cabbage kofta curry (Pattagobhi kofta curry),639.8,1.0,69.4,2.9,1.0,8.0,common,vegan
Ghiya/Lauki Kofta Curry,638.7,0.9,69.4,2.7,1.0,8.0,common,vegan
Spinach paneer kofta curry (Palak paneer kofta curry),606.0,1.4,65.4,2.9,2.5,3.0,common,vegan
Vegetarian egg kofta curry,627.4,1.3,67.2,4.3,0.0,0.0,break-fast,vegan
Baked vegetables,89.0,3.7,4.4,8.4,1.0,8.0,common,vegan
Cauliflower musallam (Phoolgobhi musallam),58.8,1.9,3.5,4.5,1.0,8.0,common,vegan
Baked vegetables with spinach,77.8,3.2,4.0,6.9,2.5,3.0,common,vegan
Baked potato with skin,135.8,3.4,8.5,11.1,1.0,8.0,common,vegan
Shepherd's pie (vegetarian),135.6,5.0,7.3,12.0,1.0,8.0,snacks,vegan
Baked brinjal in tomato sauce,38.6,1.6,1.6,4.1,2.5,3.0,common,vegan
Dum aloo,682.3,0.7,74.0,3.3,1.0,8.0,common,vegan
Spinach paneer (Palak paneer),77.7,4.0,4.8,4.4,2.5,3.0,common,vegan
Methi chaman,475.6,1.5,50.9,2.8,1.0,8.0,common,vegan
Sarson ka saag,87.8,3.0,5.9,5.3,1.0,8.0,common,vegan
Jackfruit sabzi (Kathal ki sabzi),625.4,0.7,67.6,3.4,1.0,8.0,common,vegan
Avial,124.6,2.5,8.9,8.5,1.0,8.0,common,vegan
Al yakhani,147.5,2.9,13.1,4.6,1.0,8.0,common,vegan
Shahi paneer,156.5,5.1,12.3,6.6,0.0,5.0,common,vegan
Paneer in butter sauce,145.6,7.0,8.8,9.7,0.0,5.0,common,vegan
Methi malai paneer,195.0,7.3,14.8,8.2,0.0,5.0,common,vegan
Chilli paneer,777.5,2.1,84.0,3.3,0.0,5.0,common,vegan
Paneer makhana korma,775.8,3.2,82.8,4.6,0.0,5.0,common,vegan
Kadhai Paneer,108.0,4.3,6.8,7.3,0.0,5.0,common,vegan
Roghan josh,139.6,9.6,9.0,4.9,1.0,8.0,common,vegan
Spinach mutton (Palak mutton),80.3,5.7,4.7,3.4,2.5,3.0,common,vegan
Pea keema curry (Matar keema ki sabzi),133.0,8.4,8.1,6.2,1.0,8.0,common,vegan
Keema kofta curry,154.5,9.8,10.4,5.6,1.0,8.0,common,vegan
Kashmiri mutton koftas (Gushtaba),97.4,6.3,6.8,3.0,1.0,8.0,common,vegan
Mutton yakhni,104.1,8.3,7.7,0.8,1.0,8.0,common,vegan
Chicken yakhni,99.0,10.7,6.1,0.8,0.0,0.0,common,vegan
Mutton do piaza,183.3,9.4,14.4,4.1,1.0,8.0,common,vegan
Mutton chops,663.6,4.0,71.3,1.5,1.0,8.0,common,vegan
Shammi kebab,685.7,4.5,72.6,3.5,1.0,8.0,common,vegan
Scotch egg,676.9,4.1,72.6,1.9,0.0,0.0,break-fast,vegan
Shepherd's pie (with minced meat),142.8,7.4,8.9,8.1,0.0,0.0,snacks,vegan
Chicken curry,129.2,11.8,7.6,3.4,0.0,0.0,common,vegan
Tandoori chicken,145.2,16.3,7.9,2.3,0.0,0.0,common,vegan
Butter chicken,137.0,10.9,8.7,3.7,0.0,0.0,common,vegan
Chicken kebab,729.4,3.7,78.9,1.1,0.0,0.0,common,vegan
Chilli chicken,198.8,9.6,16.6,2.9,0.0,0.0,common,vegan
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.0,11.5,7.6,2.5,2.5,3.0,common,vegan
Fish curry (Machli curry),111.1,8.8,6.7,3.8,1.0,8.0,common,vegan
Fried fish (Indian style) (Tali hui machli),658.5,4.3,68.9,5.4,1.0,8.0,common,vegan
Fried fish and Chips (English Style) (Tali hui machli aur chips),651.7,3.4,69.7,2.8,1.0,8.0,common,vegan
Tomato fish,489.8,2.4,51.9,3.2,2.5,3.0,common,vegan
Baked fish with cheese sauce,114.0,8.6,7.0,4.1,0.0,5.0,common,vegan
Fish tikka,117.3,16.0,4.1,3.9,1.0,8.0,common,vegan
Tandoori fish,96.0,11.2,4.6,2.4,1.0,8.0,common,vegan
"Paneer, apple and pineapple salad",95.1,3.9,5.1,8.3,1.8,10.0,common,vegan
Russian salad,114.8,4.3,7.8,6.5,1.0,8.0,common,vegan
Pasta salad,190.4,4.2,13.9,12.7,1.0,8.0,common,vegan
Deviled egg,98.6,5.0,7.7,2.2,0.0,0.0,break-fast,vegan
Hawain salad,175.2,4.3,11.4,14.4,1.0,8.0,common,vegan
Mixed pulse and vegetable salad,83.1,4.7,0.8,14.0,1.0,8.0,common,vegan
Sprouted moong salad,37.8,2.3,0.7,5.5,4.0,1.0,common,vegan
Tossed salad,63.0,1.0,4.2,5.0,1.0,8.0,common,vegan
Mixed vegetable salad with curd sauce,60.3,4.2,1.5,7.0,0.0,5.0,common,vegan
Potato salad (Aloo ka salaad),89.9,1.4,4.4,11.2,1.0,8.0,common,vegan
Waldroff salad,141.8,1.5,10.1,11.0,1.0,8.0,common,vegan
Coleslaw,76.7,1.2,5.3,5.6,1.0,8.0,common,vegan
Fruit salad (Phalon ka salaad),78.1,0.9,1.2,16.0,1.0,8.0,common,vegan
Tomato onion raita (Tamatar aur pyaaz ka raita),59.0,3.7,1.8,7.1,2.5,3.0,common,vegan
Peanut raita (Mungfali ka raita),150.4,8.6,9.0,9.3,1.0,8.0,common,vegan
Sprouted moong raita,60.9,4.6,2.2,6.1,4.0,1.0,common,vegan
Bottle gourd raita (Ghiya/Lauki ka raita),56.3,4.0,2.1,5.8,2.5,3.0,common,vegan
Cucumber raita (Kheere ka raita),59.1,4.0,2.1,6.3,2.5,3.0,common,vegan
Carrot and spinach raita (Gajar aur palak ka raita),56.8,4.0,2.0,5.8,2.5,3.0,common,vegan
Mint raita (Pudinay ka raita),77.6,5.6,3.0,7.6,1.0,8.0,common,vegan
Potato raita (Aloo ka raita),75.4,4.2,2.0,10.2,1.0,8.0,common,vegan
Boondi raita,687.7,2.2,73.8,4.0,1.0,8.0,common,vegan
Sweet raita (Meetha raita),99.2,3.2,1.8,17.9,1.0,8.0,common,vegan
Dahi vadas/Dahi bhalla,667.7,3.0,70.4,5.5,1.0,8.0,common,vegan
Gunjia,667.3,3.0,70.3,5.7,1.0,8.0,common,vegan
Saunth/Sonth chutney with tamarind/imli,141.5,1.0,0.2,33.6,5.0,0.5,common,vegan
Rice kheer (Chawal ki kheer),75.0,2.3,3.0,10.0,1.0,8.0,common,vegan
Makhana kheer,107.8,3.3,5.0,12.9,1.0,8.0,common,vegan
Vermicelli kheer (Semiya/Seviyan ki kheer),120.1,3.4,5.0,15.9,1.0,8.0,common,vegan
Semolina kheer (Suji/Rava kheer),113.2,3.4,4.2,15.9,1.0,8.0,common,vegan
Paneer kheer,105.3,4.5,5.4,10.0,0.0,5.0,common,vegan
Cabbage kheer (Pattagobhi ki kheer),83.5,2.9,3.8,9.7,1.0,8.0,common,vegan
Carrot kheer (Gajar ki kheer),85.3,2.8,3.9,10.1,2.5,3.0,common,vegan
Cauliflower kheer (Phoolgobhi ki kheer),82.0,3.0,4.0,8.8,1.0,8.0,common,vegan
Moong dal kheer,77.2,3.0,3.0,9.9,4.0,1.0,common,vegan
Phirni,116.1,3.5,4.3,16.1,1.0,8.0,common,vegan
Semolina halwa (Suji ka halwa),225.6,2.2,13.4,24.7,1.0,8.0,common,vegan
Shahi suji halwa,382.3,3.5,21.7,44.4,1.0,8.0,common,vegan
Carrot halwa (Gajar ka halwa),172.6,3.1,9.7,18.5,2.5,3.0,common,vegan
Egg halwa (Ande ka halwa),299.7,7.9,13.4,39.6,0.0,0.0,break-fast,vegan
Potato halwa (Aloo ka halwa),151.7,1.5,3.5,29.2,1.0,8.0,common,vegan
Pumpkin halwa (Kaddu ka halwa),190.3,1.3,8.8,27.6,2.5,3.0,common,vegan
Moong dal halwa,349.8,8.4,17.7,40.2,4.0,1.0,common,vegan
Caramel custard (steamed),121.6,5.0,4.9,15.0,0.2,5.0,common,vegan
Baked custard,106.5,5.4,5.3,9.5,1.0,8.0,common,vegan
Soft Custard (stirred),109.2,5.0,5.1,11.2,1.0,8.0,common,vegan
Chocolate ice cream,177.7,4.5,11.2,15.4,1.0,8.0,snacks,vegan
Mango ice cream,125.7,3.4,7.6,11.1,1.8,10.0,snacks,vegan
Fruit Ice cream (Phalon ka Ice cream),171.5,4.4,10.4,16.1,1.0,8.0,snacks,vegan
Caramel ice cream,173.5,4.3,11.2,14.8,1.0,8.0,snacks,vegan
Lemon souffle,168.5,6.9,10.0,13.4,1.0,8.0,common,vegan
Orange souffle,168.3,6.8,9.7,14.2,1.8,10.0,common,vegan
Vanilla souffle,187.9,7.7,11.2,14.8,1.0,8.0,common,vegan
Chocolate souffle,189.3,7.9,11.4,14.7,1.0,8.0,snacks,vegan
Pineapple souffle,196.1,8.1,11.7,15.5,1.8,10.0,common,vegan
Apple mousse,106.9,4.2,4.3,12.8,1.8,10.0,common,vegan
Rich chocolate mousse,188.3,8.0,12.2,10.8,1.0,8.0,snacks,vegan
Mango mousse,125.0,3.2,8.5,9.1,1.8,10.0,common,vegan
Orange and pineapple cream,101.2,1.4,5.4,12.0,1.8,10.0,common,vegan
Charlotte rousse,188.3,4.0,4.8,34.1,1.0,8.0,common,vegan
Triffle pudding,117.0,2.9,3.9,18.2,1.0,8.0,snacks,vegan
Snow flakes pudding,95.2,4.7,5.0,8.1,1.0,8.0,snacks,vegan
Kulfi,98.4,3.2,4.7,11.3,1.0,8.0,common,vegan
Steamed orange pudding,278.0,2.3,12.0,41.5,0.2,5.0,snacks,vegan
Meringue and rice pudding,112.9,4.8,4.1,14.6,1.0,8.0,snacks,vegan
Cheese pudding,285.0,11.3,18.4,19.3,0.0,5.0,snacks,vegan
Chocolate pudding,212.0,3.5,9.5,29.6,1.0,8.0,snacks,vegan
Bread and butter pudding,167.9,5.6,7.9,19.6,3.0,1.0,snacks,vegan
Queen of pudding,132.9,5.5,5.4,16.3,1.0,8.0,snacks,vegan
Pineapple upside down pudding,257.7,3.1,11.9,35.7,1.8,10.0,snacks,vegan
Date and nut pie,322.4,3.9,13.3,46.9,1.0,8.0,snacks,vegan
Stewed apple with custard,92.9,1.3,1.8,18.4,1.8,10.0,common,vegan
Apple snowballs,101.5,0.9,0.3,24.6,1.8,10.0,common,vegan
Hot orange souffle,180.0,6.9,8.9,18.8,1.8,10.0,common,vegan
Hot chocolate souffle,226.1,6.7,11.1,26.2,1.0,8.0,snacks,vegan
Hot vanilla souffle,192.9,6.9,9.1,21.8,1.0,8.0,common,vegan
Plain burfi (Burfi),408.3,9.8,28.0,30.9,1.0,8.0,common,vegan
Coconut burfi (Nariyal ki burfi),467.6,8.8,34.6,32.2,1.0,8.0,common,vegan
Bottle gourd burfi (Ghiya/Lauki burfi),276.0,5.9,17.7,24.5,2.5,3.0,common,vegan
Chocolate burfi,339.3,13.0,17.9,33.2,1.0,8.0,snacks,vegan
Cashewnut burfi (Kaju burfi/Kaju katli),421.7,5.5,28.5,37.9,1.0,8.0,common,vegan
Gram flour burfi (Besan burfi),421.8,11.2,22.4,46.6,1.0,8.0,common,vegan
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.7,6.7,21.9,52.9,1.0,8.0,common,vegan
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.4,5.7,27.0,50.9,1.0,8.0,common,vegan
Gram flour ladoo (Besan ladoo),476.9,8.9,22.8,62.6,1.0,8.0,common,vegan
Sesame ladoo (Til ke ladoo),397.0,10.7,19.6,43.5,1.0,8.0,common,vegan
Chenna murki,252.7,10.5,8.2,36.0,1.0,8.0,common,vegan
Milk cake,127.4,3.0,8.9,9.1,0.0,5.0,snacks,vegan
Ghujia/Lavang latika,769.0,1.9,78.9,13.0,1.0,8.0,common,vegan
Gulab Jamun with khoya,586.1,2.0,53.2,26.1,1.8,10.0,common,vegan
Mal pua,566.7,1.7,54.6,17.6,1.0,8.0,common,vegan
Shahi tukre,189.8,2.8,2.5,41.5,1.0,8.0,common,vegan
Potato pakora/pakoda (Aloo pakoda),677.2,1.9,71.8,6.0,1.0,8.0,common,vegan
Onion pakora/pakoda (Pyaaz ke pakode),674.6,1.9,71.8,5.4,1.0,8.0,common,vegan
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.6,2.0,71.9,4.5,1.0,8.0,common,vegan
Mixed vegetable pakora/pakoda,673.8,1.9,71.9,5.1,1.0,8.0,common,vegan
Spinach pakora/pakoda (Palak pakoda),712.6,2.0,76.4,4.7,2.5,3.0,common,vegan
Methi pakora/pakoda (Methi ke pakode),713.3,2.1,76.4,4.7,1.0,8.0,common,vegan
Egg pakora/pakoda (Ande ke pakode),710.5,2.8,75.9,4.5,0.0,0.0,break-fast,vegan
Bread pakora/pakoda,711.0,2.6,74.2,8.9,3.0,1.0,common,vegan
Paneer pakora/pakoda,718.1,3.3,76.1,5.5,0.0,5.0,common,vegan
Potato bonda (Aloo bonda),632.8,1.1,67.8,4.5,1.0,8.0,common,vegan
Potato samosa (Aloo ka samosa),577.4,1.7,59.2,9.2,1.0,8.0,common,vegan
Minced meat samosa (Keema ka samosa),621.0,4.4,64.3,6.1,0.0,0.0,common,vegan
Paneer and pea samosa (Paneer matar ka samosa),623.8,4.0,63.6,8.5,0.0,5.0,common,vegan
Mathri,805.1,1.7,83.1,12.3,1.0,8.0,common,vegan
Khasta kachori,712.7,2.5,72.3,12.8,1.0,8.0,common,vegan
Vegetable cutlet,665.5,1.2,71.3,4.7,1.0,8.0,common,vegan
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.7,1.8,73.9,7.4,1.0,8.0,common,vegan
Peanut cutlet (Mungfali ke cutlet),698.8,2.6,74.0,5.7,1.0,8.0,common,vegan
Fish cutlet (Machli ka cutlet),654.6,2.8,70.1,3.1,1.0,8.0,common,vegan
Paneer potato cutlet (Paneer aloo cutlet),672.9,2.5,71.4,5.2,0.0,5.0,common,vegan
Spinach chickpeas cutlet (Palak channa dal cutlet),688.0,1.4,73.6,4.9,2.5,3.0,common,vegan
Cheese toast,785.4,2.0,84.1,5.5,0.0,5.0,break-fast,vegan
Vegetable burger,519.9,3.3,50.6,13.7,1.0,8.0,common,vegan
Cheese pizza,249.5,5.8,12.4,30.6,0.0,5.0,common,vegan
Vegetable seekh kebab,690.7,1.6,73.7,5.3,1.0,8.0,common,vegan
Masala vada,826.0,1.7,89.2,4.1,5.0,0.5,common,vegan
Peanut sago vada (Sabudana mungfali vada),749.9,1.0,79.8,7.1,1.0,8.0,common,vegan
Vegeterian scotch egg,681.7,2.2,72.8,4.6,0.0,0.0,break-fast,vegan
Paneer shaslik/tikka,93.8,5.1,4.5,8.0,0.0,5.0,common,vegan
Peanut brittle (Moongfali ki chikki),320.5,6.9,11.1,47.5,4.0,1.0,common,vegan
Spring roll,623.9,1.8,64.6,8.6,1.0,8.0,common,vegan
Dry mango chutney (Sookhe aam ki chutney),298.1,2.4,0.7,69.2,1.8,10.0,common,vegan
Peanut chutney (Mungfali ki chutney),258.4,11.8,19.1,9.9,5.0,0.5,common,vegan
Coconut chutney (Nariyal ki chutney),265.9,3.6,25.0,8.3,5.0,0.5,common,vegan
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),102.6,2.8,0.5,21.2,5.0,0.5,common,vegan
Custard tart,225.6,3.7,10.7,28.7,1.0,8.0,common,vegan
Lemon tart,303.4,6.1,17.4,30.7,1.0,8.0,common,vegan
Jam tart,360.7,4.4,17.4,46.2,1.8,10.0,common,vegan
Orange cream tart,197.2,2.6,8.7,27.4,1.8,10.0,common,vegan
Pineapple tart,195.4,2.3,8.2,28.6,1.8,10.0,common,vegan
Cheese and mushroom tart,246.1,5.5,15.3,21.4,0.0,5.0,common,vegan
Cottage cheese pie,239.0,7.4,13.8,20.7,0.0,5.0,snacks,vegan
Minced meat pie,221.6,7.4,13.0,18.1,0.0,0.0,snacks,vegan
Apple cinnamon pie,258.7,3.4,12.2,33.7,1.8,10.0,snacks,vegan
Lemon meringue pie,224.4,3.9,8.2,35.1,1.0,8.0,snacks,vegan
Chocolate meringue pie,214.8,5.0,9.2,28.8,1.0,8.0,snacks,vegan
Cream puffs,221.3,4.7,15.5,16.0,1.0,8.0,common,vegan
Chocolate eclairs,239.4,4.2,13.5,26.2,1.0,8.0,snacks,vegan
Cheese balls,681.3,2.2,72.6,4.8,0.0,5.0,common,vegan
Minced meat patties,265.7,6.9,19.6,15.3,0.0,0.0,common,vegan
Cheese patties,324.0,7.4,22.7,22.2,0.0,5.0,common,vegan
Hot cheese souffle,177.1,9.2,13.2,5.4,0.0,5.0,common,vegan
Hot potato souffle,125.6,5.5,7.6,8.6,1.0,8.0,common,vegan
Hot fish souffle,142.9,11.2,9.2,3.7,1.0,8.0,common,vegan
Hot spinach souffle,104.2,5.4,7.2,4.2,2.5,3.0,common,vegan
Plain cream cake,353.9,6.2,16.2,47.2,1.0,8.0,snacks,vegan
Apple cake (Seb ka cake),290.1,4.9,12.9,39.5,1.8,10.0,snacks,vegan
Marble cake,354.1,6.3,16.3,46.9,1.0,8.0,snacks,vegan
Chocolate cake,335.6,6.0,15.2,45.1,1.0,8.0,snacks,vegan
Orange cake,357.6,6.1,16.2,48.3,1.8,10.0,snacks,vegan
Fruit Loaf,324.2,5.4,13.3,46.5,1.0,8.0,common,vegan
Banana cake (Kele ka cake),389.5,5.8,23.3,40.0,1.8,10.0,snacks,vegan
Chocolate chiffon cake,311.7,5.8,15.8,37.9,1.0,8.0,snacks,vegan
Christmas cake,372.9,5.5,16.9,48.3,1.0,8.0,snacks,vegan
Strawberry and vanilla cake with butter icing,370.5,3.9,20.4,44.3,1.0,8.0,snacks,vegan
Eggless cake,318.1,8.1,11.8,46.1,0.0,0.0,break-fast,vegan
Swiss roll,251.9,7.3,3.8,48.3,1.0,8.0,common,vegan
Pineapple pastry,208.2,6.1,7.9,29.0,1.8,10.0,common,vegan
Black forest pastry,233.5,6.1,8.5,34.5,1.0,8.0,common,vegan
Coconut finger,274.9,7.1,8.9,42.6,1.0,8.0,common,vegan
Pineapple cake,195.6,5.0,9.3,23.5,1.8,10.0,snacks,vegan
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),424.8,6.6,23.6,47.1,1.0,8.0,snacks,vegan
Chocolate chip cookies,425.3,5.8,19.4,58.0,1.0,8.0,snacks,vegan
Sweet plain biscuit,380.8,5.9,17.7,50.3,1.0,8.0,common,vegan
Chocolate biscuit,379.8,5.9,17.1,51.6,1.0,8.0,snacks,vegan
Coconut biscuit (Nariyal ke biscuit),435.0,5.8,27.2,42.9,1.0,8.0,common,vegan
Sweet and salty biscuit (Meethay aur namkeen biscuit),408.0,6.2,22.4,45.1,1.0,8.0,common,vegan
Peanut biscuit,401.0,8.5,20.4,46.7,1.0,8.0,common,vegan
Pin wheel biscuit,404.6,5.4,18.7,54.6,1.0,8.0,common,vegan
Saffron biscuit (Kesar biscuit),458.6,6.0,22.0,59.7,1.0,8.0,common,vegan
Masala biscuit,393.6,6.1,20.8,45.2,5.0,0.5,common,vegan
Ice box cookies,374.2,5.7,14.4,56.1,1.0,8.0,snacks,vegan
Ginger bread man,365.0,6.6,11.0,60.3,3.0,1.0,common,vegan
Danish cookies,475.3,5.3,24.9,58.0,1.0,8.0,snacks,vegan
Short bread cookies,443.1,6.0,18.0,64.8,3.0,1.0,snacks,vegan
Coffee biscuit,416.6,6.9,23.0,46.6,0.2,5.0,common,vegan
Melting moments,437.9,5.7,21.8,55.8,1.0,8.0,common,vegan
Ginger biscuit (Adarak ke biscuit),417.9,6.0,18.3,58.4,1.0,8.0,common,vegan
Soyabean muthias,839.3,2.5,90.4,3.7,1.0,8.0,common,vegan
Soyabean tikki,698.2,3.5,74.0,4.4,1.0,8.0,common,vegan
Soyabean namak paras,838.5,2.7,89.8,4.7,1.0,8.0,common,vegan
Peanut burfi (Moongfali ki burfi),551.0,9.3,36.8,48.1,4.0,1.0,common,vegan
Spinach peanut namak paras (Palak moongfali namak paras),740.2,1.7,78.5,6.6,2.5,3.0,common,vegan
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),758.9,2.1,80.0,7.6,1.0,8.0,break-fast,vegan
Rice moong dal cheela (Chawal aur moong dal ka cheela),798.3,2.7,82.4,11.1,4.0,1.0,common,vegan
Split bengal gram sweet rice (Channa dal sweet rice),190.2,4.2,0.6,41.1,4.0,1.0,common,vegan
Sweet poori (Meethi poori),782.7,2.1,79.6,14.3,1.0,8.0,common,vegan
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),441.1,9.8,18.4,60.0,4.0,1.0,common,vegan
Spinach burfi (Palak burfi),121.2,2.7,6.8,12.8,2.5,3.0,common,vegan
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),366.6,9.5,7.9,62.7,4.0,1.0,common,vegan
Sprouted moong daliya,111.6,2.8,4.7,14.8,3.0,1.0,common,vegan
Sprouted moong poha,192.6,5.6,6.9,26.6,4.0,1.0,common,vegan
Pearl millet ladoo (Bajra ladoo),319.7,9.6,8.1,51.0,1.0,8.0,common,vegan
Paushtik ladoo,485.9,7.7,25.0,60.3,1.0,8.0,common,vegan
Paushtik roti,149.3,7.2,1.5,26.6,1.0,8.0,common,vegan
Semolina carrot vada (Suji gajar vada),699.5,1.6,74.1,6.5,2.5,3.0,common,vegan
Dhokla,216.5,13.4,5.3,30.7,1.0,8.0,common,vegan
Kashmiri tea (Kehwa),24.9,0.2,0.5,5.2,0.2,5.0,common,vegan
Steeped hot coffee,15.9,0.4,0.3,3.0,0.2,5.0,common,vegan
Hot chocolate,90.0,3.4,4.6,9.0,1.0,8.0,snacks,vegan
Cold coffee (with cream),82.8,1.9,3.3,12.0,0.2,5.0,common,vegan
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),76.4,2.0,2.8,11.2,0.2,5.0,snacks,vegan
Flavoured milkshake,66.8,2.1,2.8,8.6,0.2,5.0,common,vegan
Jal jeera,30.2,0.4,0.3,6.7,1.0,8.0,common,vegan
Gingo,48.0,0.1,0.1,12.4,1.0,8.0,common,vegan
Mintade,40.3,0.0,0.0,10.6,1.0,8.0,common,vegan
Canjee,6.6,0.2,0.4,0.4,1.0,8.0,common,vegan
Cauliflower canjee (Phoolgobhi ki canjee),6.9,0.4,0.4,0.3,1.0,8.0,common,vegan
Potato canjee (Aloo canjee),16.3,0.4,0.4,2.7,1.0,8.0,common,vegan
Vermicelli porridge (Semiya/Seviyan porridge),78.4,2.5,3.0,10.6,3.0,1.0,common,vegan
Semolina upma (Suji/Rava upma),147.9,3.3,7.5,16.3,1.0,8.0,common,vegan
Vermicelli upma (Semiya/Seviyan upma),149.1,3.1,7.4,16.9,1.0,8.0,common,vegan
Rice upma,151.3,2.6,7.5,18.0,1.0,8.0,common,vegan
Bread upma,129.5,2.8,7.7,12.6,3.0,1.0,common,vegan
Vegetable upma,146.5,4.7,6.6,16.5,1.0,8.0,common,vegan
Poha,294.5,6.1,14.1,35.0,1.0,8.0,common,vegan
Vegetable poha,180.5,4.9,8.1,21.5,1.0,8.0,common,vegan
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),154.9,7.0,5.1,19.4,4.0,1.0,common,vegan
Paneer stuffed cheela/chilla,205.2,11.4,8.9,19.2,0.0,5.0,common,vegan
Indian style egg bhujia (Anda bhujia (Indian style)),102.8,6.1,7.0,3.8,0.0,0.0,break-fast,vegan
French omelette/omlet,211.0,10.0,18.9,0.4,1.0,8.0,common,vegan
Puffy omelette/omlet,188.1,8.8,16.8,0.1,1.0,8.0,common,vegan
Orange omelette/omlet,194.7,8.9,16.8,1.7,1.8,10.0,common,vegan
Cheese and mushroom omelette/omlet,205.6,9.7,17.8,1.7,0.0,5.0,common,vegan
Spanish omelette/omlet,157.4,8.3,11.4,5.1,1.0,8.0,common,vegan
Mixed stock,25.2,2.1,1.7,0.3,1.0,8.0,common,vegan
Meat stock,24.5,2.1,1.8,0.0,0.0,0.0,common,vegan
White stock,7.0,0.1,0.6,0.4,1.0,8.0,common,vegan
Meat consomme (with mutton),29.8,14.9,13.7,0.5,0.0,0.0,common,vegan
Consomme au julienne,27.8,12.5,10.7,1.5,1.0,8.0,common,vegan
Consomme au vermicelli,29.9,15.2,13.0,1.3,1.0,8.0,common,vegan
Green pea soup (Matar ka soup),39.8,11.1,12.9,3.6,1.0,8.0,common,vegan
Spinach soup (Palak ka soup),32.6,10.5,14.3,3.0,2.5,3.0,common,vegan
Mixed vegetable soup,35.7,8.2,11.7,2.9,1.0,8.0,common,vegan
Cheese soup,41.1,12.4,17.1,1.9,0.0,5.0,common,vegan
Mulligatawny soup,54.4,11.3,13.3,8.2,1.0,8.0,common,vegan
Cream of carrot soup,59.8,8.3,12.4,5.7,2.5,3.0,common,vegan
Cream of broccoli soup,56.1,9.0,12.7,3.7,1.0,8.0,common,vegan
Cream of potato soup,60.2,8.1,12.0,6.1,1.0,8.0,common,vegan
Almond soup (Badam ka soup),78.7,10.1,13.8,3.7,1.0,8.0,common,vegan
Cold cucumber cream soup,11.9,0.3,0.3,1.8,2.5,3.0,common,vegan
Cold tomato soup,16.9,0.1,1.6,0.6,2.5,3.0,common,vegan
Chicken stew,127.5,7.2,8.9,4.4,0.0,0.0,common,vegan
Veg paneer stew,145.5,7.0,8.4,10.2,0.0,5.0,common,vegan
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),191.3,4.4,7.3,26.4,1.0,8.0,common,vegan
Methi parantha/paratha,148.4,4.3,4.3,22.2,1.0,8.0,common,vegan
Bathua poori,598.8,2.4,59.1,13.9,1.0,8.0,common,vegan
Gram flour poori (Besan poori),697.7,2.6,71.5,10.9,1.0,8.0,common,vegan
Beetroot poori (Chukandar ki poori),527.7,1.9,52.2,12.3,1.0,8.0,common,vegan
Peas poori (Matar ki poori),592.8,3.0,57.7,14.9,2.5,3.0,common,vegan
Peas kachori (Matar kachori),584.7,3.2,57.5,13.2,2.5,3.0,common,vegan
Pizza,146.8,6.8,8.7,9.9,1.0,8.0,common,vegan
Bacon and mushroom pancake,157.7,6.8,10.6,8.5,1.0,8.0,break-fast,vegan
Cheese and tomato pancake,147.4,5.1,9.3,10.7,2.5,3.0,break-fast,vegan
Minced meat pancake (with chicken),116.0,12.0,10.5,8.2,0.0,0.0,break-fast,vegan
Eggplant/Brinjal rice (Vangi bhat),184.8,5.3,3.7,31.7,2.5,3.0,break-fast,vegan
Kashmiri 'tahar',98.2,2.0,1.4,19.1,1.0,8.0,common,vegan
Cumin pulao (Jeera/Zeera pulao),135.2,2.5,3.2,23.6,1.0,8.0,common,vegan
Peas pulao (Matar pulao),108.9,3.9,1.9,18.4,2.5,3.0,common,vegan
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),116.5,3.6,2.3,19.7,4.0,1.0,common,vegan
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),125.5,3.4,2.6,21.6,1.0,8.0,common,vegan
Mutton pulao,130.8,6.5,10.8,11.3,1.0,8.0,common,vegan
Chicken pulao,108.2,6.1,8.5,11.2,0.0,0.0,common,vegan
Mexican rice,120.6,4.6,4.9,14.2,1.0,8.0,common,vegan
Plain khitchdi (Plain khichri/khichdi),57.0,1.7,1.0,10.0,3.0,1.0,common,vegan
Instant idli (with semolina),247.3,9.2,3.6,43.4,1.0,8.0,common,vegan
